Latitude	Longitude	Year	Month	Time	GS	Customers	Country
50.995523	7.200697	2022	3	2022-03-01	5766.3098	10	DE
52.568902	6.200188	2022	5	2022-05-01	553.4538	1	All
40.251426	18.278759	2022	4	2022-04-01	537.2195	1	IT
52.371883	6.599909	2022	5	2022-05-01	2671.4645	1	NL
60.45475	25.625797	2022	12	2022-12-01	370.8766	1	All
52.269902	6.155544	2022	12	2022-12-01	489.9418	2	NL
54.051543	10.190637	2023	1	2023-01-01	2290.6151	4	DE
55.804519	9.69594	2022	9	2022-09-01	23598.008	29	DK
52.067644	4.402384	2022	10	2022-10-01	495.4541	1	NL
51.790245	5.736809	2022	2	2022-02-01	1230.9098	1	All
51.627392	5.888569	2022	4	2022-04-01	922.8122	1	All
51.35675	11.100901	2022	7	2022-07-01	375.5545	1	All
68.820599	17.1992	2022	5	2022-05-01	688.716	1	All
51.813071	4.951965	2022	4	2022-04-01	246.2225	1	NL
54.286404	9.702504	2022	12	2022-12-01	2286.154	3	All
51.585612	5.547617	2022	3	2022-03-01	1104.7509	1	NL
45.455741	4.331345	2022	11	2022-11-01	186.1755	1	All
49.474985	10.991226	2022	2	2022-02-01	2347.1016	4	All
